"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty [nm]"
1.0,2.0,832.0072061748804,19737.214440171483,209.4723090532484,206.5418152347091,8.430309925040682,1.522934808856532,23.579063817070484
2.0,2.0,4952.287759421415,1862.7534407256542,191.25269856951076,730.3865217889503,18.107575282116727,4.197627796821475,12.421332306330992
3.0,2.0,5737.264056268066,17465.407341353948,211.3561768979218,451.1086337448669,11.06429946534207,2.9096287222820685,17.294658843152362
4.0,2.0,6618.389867290318,6486.920998266369,198.19023409287558,929.5497908206112,15.870247610685292,5.289069266310904,12.035488869442947
5.0,2.0,7814.616080597592,20753.59687145186,182.3060551354161,242.38352707425733,12.091949359130355,2.2960261748933006,19.93837109245533
6.0,2.0,10450.079140784097,18869.378071952775,195.84948568443355,619.280817475863,16.92632117733682,2.540103237351439,12.478544093823562
7.0,2.0,11157.60418534532,17100.83628271219,178.81680284359598,476.1221873174273,15.695970113336713,3.528140968663569,14.273456702262298
8.0,2.0,13112.339413972693,10448.999556442805,198.67692000639897,751.1024912706147,15.025875522768807,4.090114685724,12.709047608120322
9.0,2.0,13605.249341686684,18141.525815786765,180.92775690078344,439.1847774274882,23.34420027580414,4.163706955100586,16.302761940312287
10.0,2.0,14191.025110950673,14374.026700836519,196.99921411691213,446.4570496867859,13.476835301598227,2.812780934553346,15.740833334679394
11.0,2.0,14322.478511388272,17234.209738202546,202.5523912299006,1578.464759490051,26.214792013743676,4.240744947804297,8.205287367112525
12.0,2.0,14734.30629302446,19809.11631446249,216.21109821166056,442.4918270277355,12.532982997805885,2.752720637814048,17.726776655797206
13.0,2.0,14807.860224107688,12731.851072392428,198.29158966194547,827.6447141041408,16.188909662074604,3.3327616764125145,11.247035406131351
14.0,2.0,16571.022424442388,6628.497427748395,291.39130044152336,2370.7740293625056,15.432371205601997,13.63634112862868,18.74337459367804
15.0,2.0,20714.14903218963,6540.406029177289,201.91480832391028,812.0214422723973,17.26935639906385,4.775185651783498,13.032241641671668
16.0,3.0,849.9382064428893,19764.320120837776,305.382200583456,353.6955447997993,11.081151483724073,1.9581381435005407,29.053863557256307
17.0,3.0,4948.18272029609,1889.5744581496706,186.46674394990828,526.1997905163909,26.72283390048207,4.17910464720812,14.991098082572956
18.0,3.0,5691.987221598295,17418.80077553626,246.59554236975265,207.8468800701296,13.011035404975603,1.8069967072706576,30.341339571196915
19.0,3.0,6581.081612231289,6468.193291372977,215.21481204383625,803.9397686701805,26.50253336634559,4.350001480505054,13.816798001525154
20.0,3.0,7725.7573116872145,20716.73300975296,251.46027814327653,233.46764796973673,16.699928250280855,2.2156328161792582,31.152149877110975
21.0,3.0,10409.363534346525,18854.190685291243,226.2406122665845,607.8095197499188,24.635620961013,3.452549855655616,16.438538856403245
22.0,3.0,11143.061697094683,17101.84145965286,224.59992250250764,466.05532636225377,27.150144025779227,3.949477524183606,20.833261567191485
