"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty [nm]"
1.0,1.0,614.1658087479981,1781.1995637941088,205.9842462687863,786.2435343402282,10.827764199260171,5.295182984680339,14.34214359999426
2.0,1.0,1397.1272412035455,1610.3114322920187,201.76548090885325,692.044842279653,11.524999761984137,6.180640894250084,16.577663231833988
3.0,1.0,1816.658289727647,9990.345633241255,149.92341182783858,1298.0197095530787,16.530701427030987,6.594991848701848,7.159900668585713
4.0,1.0,1921.4543042147548,19737.33196908208,130.86437566742094,581.393311342724,11.450832430992687,3.539343676667852,8.643081332989087
5.0,1.0,2584.254878509435,21321.751908929826,136.34124662705227,580.0590995434549,12.267473641944234,3.355439172152702,8.983463811497234
6.0,1.0,5685.478788608462,7713.018778332109,150.11146830766089,1280.730816313311,15.194283522979804,8.008179877451651,7.733200500307854
7.0,1.0,5814.988561341775,13948.119575989067,142.51115553931376,1851.9645365533722,18.090797271458396,9.489361339422397,5.963560954613291
8.0,1.0,7649.865533792413,17422.880437954733,136.85792899394858,2347.455509402084,23.427519866807444,9.620289253175534,4.859109417224761
9.0,1.0,8422.446071653772,15632.615739006364,132.4606260911148,1184.1762995388306,17.316661557972733,6.141707502876069,6.389868993185271
10.0,1.0,8689.05075394389,13041.401937414621,145.80268738520752,2048.0103718497357,18.332188087734753,11.971638716462039,6.300227501180273
11.0,1.0,9337.041527937106,18872.532382080928,136.56471255607772,1450.4119732325337,19.00262300512514,5.924566655359687,5.808457790511679
12.0,1.0,9612.652505779182,14605.845098753425,139.4704478191822,1303.5297263740554,18.25102582985088,6.287073653408787,6.443011114116445
13.0,1.0,12770.957337625152,9799.428402420495,160.79611336205744,6815.239634665043,35.150459068517634,29.61011536469754,4.7546929406450245
14.0,1.0,12765.484100279522,14175.266558221434,136.06781016626638,2583.2261487000737,23.01628108639947,10.646361101780089,4.672951279707067
15.0,1.0,13226.86399231781,6366.578667214578,152.7912211695388,1911.7255930811405,17.28899600792722,11.895414119864784,7.073604997769298
16.0,1.0,15512.823760734349,18215.464967149615,144.90691527870445,3259.1237148412047,75.3005190712988,46.714198472527066,10.925499811011006
17.0,1.0,15641.803696430865,19544.806904410623,130.64964868126677,1266.520950428858,26.524362718053325,5.172150989820005,5.835326512738748
18.0,1.0,16428.13213837865,18188.84083883472,162.95312552185544,1535.7747039559815,20.97357689821693,12.30851262801158,9.418606859375144
19.0,1.0,17395.908258631942,7481.793285091565,142.0818526400062,1512.550253492103,14.880131951587497,7.887377088659405,6.390311690466651
20.0,1.0,17878.41869773255,8467.36951251277,136.17068284141325,902.0408074523831,17.222328474698767,5.5988418230939825,7.654257095389351
21.0,1.0,18401.0809638571,20542.303213525072,132.66514110120292,990.2108892769479,20.83758055219199,5.284849878637656,6.904712523861188
