"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty [nm]"
1.0,2.0,2004.6451366948281,7587.300851362868,136.29118685512213,669.7033213762604,12.124196259568631,4.302740027760397,8.648893313779269
2.0,2.0,2992.4945840984233,2976.3705120131926,142.9294863071316,890.5048601449091,13.594023184621207,5.037178752343326,7.969212608366481
3.0,2.0,5511.479176407997,12569.987883036008,135.8219645455582,1323.9035337139403,15.761664002175145,6.286403566264044,6.180163521617277
4.0,2.0,9453.670780518327,19536.73242235984,134.10707374294424,951.9201154371883,16.70284658721906,4.434095394192116,6.919151182683999
5.0,2.0,9794.302699232076,1440.246767713008,154.3067806771624,905.7057013331183,10.423925146786244,3.7336131114581788,8.113148951122907
6.0,2.0,9945.499405689157,10984.285986893694,133.95985562737764,1826.4775945191736,18.099728416676264,6.85082584713554,5.092038766084873
7.0,2.0,10159.16876106883,20707.990514057732,135.0907592855759,843.24290817642,15.83831329254491,2.9848580377551,7.091401904591045
8.0,2.0,12871.242694281747,14489.654326267806,133.21157626495756,717.4096433873459,13.59972068757391,3.7346692840393096,7.8706098063691545
9.0,2.0,14278.332579138283,17036.881338129577,138.67539425275973,1053.5757162797956,16.81620299753711,3.373436997603632,6.529905341951954
10.0,2.0,14498.889150036875,11272.058923170633,133.57265894615296,1655.614780352396,17.755302791812632,6.29851003269685,5.2936099500488
11.0,2.0,14910.56199491924,13150.562008852447,136.7983613928226,3717.5056060952747,35.55847736568361,11.112941403752515,3.7695403523242605
12.0,2.0,15448.704241977546,3702.120274678351,138.79182807629635,1595.3628982389425,16.466125527528533,5.955233247793772,5.596256463914116
13.0,2.0,15787.642031230893,1054.917777831915,144.349490894392,1742.249712237547,18.251754841873392,9.240821244258964,6.263450000443219
14.0,2.0,16636.401749041645,16509.848493638696,134.76206954490974,1055.8768558981346,16.04441370744319,3.7173512738637244,6.393456845675975
15.0,2.0,20190.5990637621,10769.775264629588,133.21740473339474,2197.0639605204065,23.02131258118079,5.625986540367843,4.402874712513412
16.0,2.0,21027.93289172005,8819.963795104526,134.07970943713696,689.7371642324905,12.156280294907802,3.8340968866611465,8.148812914993767
17.0,3.0,1964.2110050915244,7546.488674211126,139.79204606422923,1066.6094638492907,23.024592473309333,4.652659883447648,6.842480125187183
18.0,3.0,2948.453736775424,2946.3032647231753,143.73139040038862,891.7349198346758,18.301807690227204,4.608723113404982,7.8532363500245275
19.0,3.0,5485.563673306479,12532.936131957527,144.6233172366712,1807.5381839526806,35.60002536126353,8.340813790681606,5.918386140346358
20.0,3.0,9445.630725686033,19519.46233626682,149.90058300468323,668.2633526006825,27.774779063049717,4.043026239301045,9.567754078678389
21.0,3.0,9772.067128821533,1393.909294956673,141.87578650729043,1248.3060145041431,24.621380973792668,5.22050558991505,6.478520220100298
22.0,3.0,9916.364350553824,10947.504402293041,156.68308783898522,2742.0422074070425,44.27877002350305,10.31636218129825,5.341855080723664
23.0,3.0,10144.439977209608,20673.63616452888,166.99662203475896,1205.7078023393988,29.38293177258603,6.797293165580787,8.755074183920774
24.0,3.0,12854.21690267132,14447.88038454591,149.03007455537124,933.1790587756441,28.159899192168506,4.865309739878108,8.074670645843492
25.0,3.0,14259.31090910343,16998.699851776328,158.22449556475135,1675.9133470856236,35.451266453295,6.309903740432831,6.42920925064545
26.0,3.0,14477.49783696292,11235.947657442377,152.49418050649683,1407.8065907105624,32.2409256980748,6.3373991194303105,6.864670640964665
27.0,3.0,14893.117608097726,13109.56396865568,155.32376103492047,3021.555355972344,53.131374961236524,10.281597245949072,4.943953723079877
28.0,3.0,15417.069305629004,3671.424192390716,149.94516594132907,1457.3096301119322,22.420076944002403,5.607749473731257,6.39050620393403
29.0,3.0,15769.252004021626,1013.5194393015571,146.62968803725653,1811.960928418632,26.45047241893785,5.378576135553573,5.4298320182788995
30.0,3.0,16627.001627686815,16474.942077315583,149.27863833529756,1177.8943284070338,33.253081270565524,4.534624457768187,6.925626180784366
31.0,3.0,20176.968515523044,10745.850027690021,156.50026197875826,1650.7182829551757,31.644487266870115,4.004612979503039,5.906636983634135
32.0,3.0,21025.91799088726,8788.113914212292,148.3676166440076,462.92320613716663,16.919010633495954,2.891007621519427,11.003352772082488
33.0,5.0,2005.127941791052,7575.527459181166,141.89413595176282,660.2524532600306,12.001463792253835,4.388760173891054,9.200369483547169
34.0,5.0,2986.8902499930946,2982.8416753404067,159.20877538012664,946.1017531121774,12.127206962276519,6.460492927279274,9.51369296446864
35.0,5.0,5514.856615700172,12567.970185316108,131.75839189008855,1389.3867062282438,15.899474300422366,4.632132378887928,5.495115465712959
36.0,5.0,9457.839099179804,19541.112080212126,135.84557899563885,936.6888276317642,16.64666326621795,3.7385016496236534,6.903522141823527
37.0,5.0,9797.384454033225,1431.1609538832563,155.31241973391272,910.2185846608066,10.730272069377762,5.082706311279591,8.72855717800759
38.0,5.0,9942.635239108848,10982.592769625851,134.44990839830191,1829.1122465954643,18.130891890240047,7.09009314196955,5.1464967550054075
39.0,5.0,10147.954506434175,20713.497669714132,133.73811214504906,801.0732971655361,16.5943642749112,3.851309911314622,7.452348237282255
40.0,5.0,12870.841072623536,14497.353990804135,129.8795515044037,732.539664511005,12.755624510426191,2.8739449512337942,7.322713700320187
41.0,5.0,14265.453614422378,17035.23207485681,140.19851108537816,1045.3702955098474,16.223056946218456,3.4575807688950406,6.6528836472597
42.0,5.0,14502.603714428747,11272.737556113576,134.6526691669527,1605.2720177891372,16.998065414505707,6.642148077069805,5.503392071218039
43.0,5.0,14909.073756382466,13148.657662031572,137.1320548123349,3590.561934752413,36.00761385039629,9.222772211202539,3.701635498554556
44.0,5.0,15452.884238314726,3706.2827359085827,132.8191317403858,1519.987217139813,17.15115106975945,7.5420536758327215,5.774974438479788
45.0,5.0,15785.214431750253,1055.6335945868236,138.2181054771391,1786.1460270749185,17.000170308507798,7.81678881282891,5.528892564051298
46.0,5.0,16626.76991201793,16512.787434323054,138.8160493870796,1110.5322978474815,15.157591171226523,3.466781742601833,6.3677593938850965
47.0,5.0,20187.803174199198,10766.739750736651,134.0974277991816,2103.24369301304,24.974015572721836,6.57695680049608,4.652803454211941
48.0,5.0,21027.835405450005,8816.040408213283,128.11553354744535,614.5341122609861,12.046461236935961,3.0319716676820185,8.000082096767626
49.0,6.0,1969.4226360449043,7533.8839599876965,143.35438881951134,1098.3441000761222,22.63671183613389,4.272884556752391,6.82099202917208
50.0,6.0,2942.9279261105944,2945.6249332368843,146.50686654150314,924.9345292049572,17.839957277307406,4.402788974281953,7.7818133470528075
51.0,6.0,5486.897178940004,12535.722701823404,146.2582628962589,1850.2549806981356,35.99735393075182,6.857420577745864,5.607237160564352
52.0,6.0,9438.698086662433,19517.742085893944,153.16158479189522,726.3261238674569,27.845675176366065,3.4974458829886443,9.054395038501593
53.0,6.0,9769.450878639023,1396.7261087208371,150.99009905704946,1403.1700619750056,22.33241194312655,5.222122515808579,6.4953802369659766
54.0,6.0,9918.594634393414,10947.757394074739,152.2268223940378,2698.674581685967,45.86607299581821,10.710873924908372,5.265861298013798
55.0,6.0,10141.950953905256,20681.87725737344,166.77427937259864,1089.3394330488322,29.57803240910649,5.266478977818523,8.59383579281855
56.0,6.0,12855.755935244455,14441.172839037756,150.33404649582138,938.2859033881646,27.33393264902244,5.493563995768377,8.399888713850475
57.0,6.0,14267.141047241555,16995.754915140275,160.54980505853362,1657.5602161672757,36.84870516088882,7.586667705029892,6.961243455461835
58.0,6.0,14481.726980465543,11222.685059038375,148.8476557872898,1456.8930590698938,32.64692882460099,6.435447117452282,6.545595235873899
59.0,6.0,14896.328637099326,13112.858132156836,152.4854782776639,2882.289422742621,55.42867973327196,8.832105129047262,4.763639274162089
60.0,6.0,15420.761197874324,3664.4928675339024,147.0943308178926,1354.0319434340488,24.34764697095933,5.505953733357982,6.506462645863295
61.0,6.0,15774.769022419443,1010.1170616497876,147.78600675799606,1817.2136707972809,27.933420345082485,7.102169218215634,5.791703309778536
62.0,6.0,16623.866328307096,16468.164180513366,159.94218350470263,1286.7285153416208,31.597556470796015,5.845831014378569,7.546508649943855
63.0,6.0,20174.61512757242,10739.895666531645,155.72820659792177,1651.9992963339307,31.6746126567333,4.526742237814153,5.967252828492792
64.0,6.0,21013.18218156346,8772.797691673883,147.69759763461175,490.7137711628187,16.382446758139267,3.218041978535266,10.793148265613251
65.0,8.0,2006.2844318222687,7573.462379775848,142.05253640188477,689.1528787931624,10.983422204326246,3.4519937617969854,8.550310541159835
66.0,8.0,2998.132012448927,2973.392253977566,149.37585743905845,942.1147533039087,13.465264555630512,5.150449755193976,8.165188310281216
67.0,8.0,5507.451954104621,12569.79507643685,134.2784023226151,1365.639556541098,15.803805159826222,6.122714312671692,5.946407403481559
68.0,8.0,9461.869884421372,19535.07323645203,135.2915738545315,857.9931780456089,15.988804205807455,3.8530940207018873,7.256403600939311
69.0,8.0,9800.306245396428,1433.8368364392547,147.13114716786558,854.2943635944301,11.542733258777204,4.632279612140361,8.299904977407756
70.0,8.0,9945.262244425663,10981.859244613217,134.8684556109741,1791.6260019430517,18.392902823372808,7.642175712965827,5.323939073772124
71.0,8.0,10162.457343805738,20708.049445372755,134.79953790544567,811.7485505981406,15.970323837318768,3.911527656764891,7.479413902240457
72.0,8.0,12868.120802939226,14494.752769477558,135.6214628912942,744.6125228063437,12.891409095063958,2.426942880398983,7.484079282705169
73.0,8.0,14272.408393866532,17036.770311164622,133.19021444857992,1051.7947656487797,16.175714325038584,3.6618454107286893,6.316292329995529
74.0,8.0,14502.791838540768,11270.116400771338,135.85117666454897,1627.5030669000987,16.629538599061053,7.961281595444669,5.771587449022748
75.0,8.0,14913.352966194809,13149.164283602227,139.02444393936048,3571.089097052218,34.21029929591798,11.98918108020405,4.031137445139801
76.0,8.0,15448.002851977692,3703.9345592146233,136.77878415527385,1606.9704076973458,16.707087528552805,8.051047877718162,5.888337489893212
77.0,8.0,15790.671892197177,1054.3185735596173,142.4208405935639,1724.4696091051876,17.905755807506534,7.951282104582177,5.898476923541997
78.0,8.0,16640.66664663056,16514.13749535726,131.8455422039045,990.2951290482767,16.801469915077032,3.9075721210380454,6.512886644427628
79.0,8.0,20194.18669841957,10773.46598873207,137.44673822636764,2183.2226002383513,23.950458775322765,6.109764133885574,4.625483899436027
80.0,8.0,21031.507036174917,8820.94460676553,133.77597373831134,656.8157265595329,12.74109831313358,3.034339055837902,8.075473589457873
81.0,9.0,1970.6863272383307,7541.724392012514,141.1929072730229,1174.9116847479352,22.97376805144678,5.130726600389935,6.657502830647225
82.0,9.0,2953.5720767431426,2942.3849180221637,146.2134150003205,904.031806370959,17.94904053338707,3.0155055998026197,7.431241524371465
83.0,9.0,5489.7215030559955,12528.972133185247,146.8368227115177,1865.396631627768,37.511681155648475,9.464183414874473,6.170150454549244
84.0,9.0,9449.191057123542,19503.048534746176,158.01206157676464,787.0499485248585,27.12364047419569,3.681410119475302,9.037254413177278
85.0,9.0,9767.618984199304,1392.833582470125,148.1071253515024,1300.4982462479932,22.580070925741424,5.098349120823979,6.615093538210952
86.0,9.0,9919.609140414545,10941.222557319194,147.03478177132445,2635.95134744471,46.95829139777958,9.565947676445154,4.9275910705956
87.0,9.0,10135.854362340364,20684.49516177496,168.06351036805418,1162.1916800061902,29.465900557570986,5.468141200855392,8.414354302149208
88.0,9.0,12852.504463573474,14444.252636082947,145.5592839632538,961.1692313995123,27.914777166782137,4.358347975977109,7.532867264234099
89.0,9.0,14260.184152812246,17004.736543739124,161.7252092779131,1668.0069350266156,33.94830971622345,6.053580691009631,6.5552590387398775
90.0,9.0,14480.838726271897,11225.316764502155,148.01015170232796,1441.416054011166,33.95938732890539,6.220537791028875,6.48778738054754
91.0,9.0,14890.595981190478,13111.953154074099,154.07340189506772,3015.4699500328657,52.10230522356951,9.583561391600327,4.795276789483742
92.0,9.0,15420.936686209583,3664.0140144293373,151.12932290255046,1422.431786558186,22.254140447056916,4.928383884709276,6.379389445280948
93.0,9.0,15774.74622945884,1009.2753235563696,149.7440195489624,1907.917371172253,25.397627936212174,6.576381846801937,5.606258547573332
94.0,9.0,16626.579526219415,16474.266632576706,150.00912540984754,1238.3645644349438,33.5658976747236,5.954141369298955,7.174837047477078
