"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty [nm]"
1.0,1.0,620.5483557988059,10904.90556135896,162.42088186924494,977.1109120326959,12.60362548370782,5.4123558007488,8.988897495002993
2.0,1.0,854.6028815978764,13397.82351991222,151.54340763258492,1642.4927727888285,17.080973509524114,10.11760403591595,7.24274242069586
3.0,1.0,1585.5672966919606,7342.30085930495,179.56399479905295,2785.756910175068,13.929326588995458,14.833176536386722,7.6328698601302944
4.0,1.0,3005.894380296508,8379.74514231416,151.77386773975542,1345.9171858877735,17.300059136436737,7.557192011931015,7.424551058708158
5.0,1.0,3301.6644665067456,10192.092695996835,156.7336157725618,2579.3454137682415,23.61572074437892,10.745799525318134,5.656017712145569
6.0,1.0,3628.1391132656213,13213.220024898967,145.36247307319928,1173.167572198021,24.09211042163134,11.857110234482052,9.533360100924437
7.0,1.0,3816.4306163266747,12482.548704978402,141.98953724164502,1940.1529767540017,26.29507509356826,13.990162053988564,6.8133407870722476
8.0,1.0,4525.465164063485,2560.462196482282,185.384361758014,751.4185582536761,9.974625056330167,3.7380848590442057,11.315424441930602
9.0,1.0,4978.6687358018735,17945.097517752787,134.97033286815653,437.3020133275071,10.289520918083964,3.1136687396214073,10.348212949933314
10.0,1.0,5454.54455135111,5420.100603139223,151.79583780402209,1281.6284368286765,18.25107024805375,9.421160164079026,8.420511496713239
11.0,1.0,5765.5842926121295,16406.767495110133,142.32307772511055,1711.0744270094688,15.833902616047707,7.5616715694209,5.838968598684352
12.0,1.0,6247.5777053201045,5933.633528224062,155.50126743971862,1793.181811950076,23.82714479778448,10.793081728076475,7.2622081590758345
13.0,1.0,7061.629647867685,8198.211141788175,289.4288476167317,3986.000841781075,9.953295824140408,44.468132119151605,32.615973993434
14.0,1.0,7253.710890759089,7726.637834284057,144.97299465065888,1986.1615678468925,37.562950407752986,30.043418921018983,11.84304966788149
15.0,1.0,8388.989572827924,7912.351648804049,154.37345330606448,1976.2583362541263,18.98254781147925,12.478178340358129,7.176434992969774
16.0,1.0,9421.722798415249,10460.365500193235,144.30402739513283,1132.918284955433,15.229094322376474,5.751612435982205,7.170194570444319
17.0,1.0,10069.294869818375,4280.844632389309,161.63106788663825,2204.3296467204427,18.738625238319415,12.320915059175233,7.032081106061087
18.0,1.0,10818.30265078298,9487.11216129969,143.4652579080321,1550.8336773262808,15.78682401460805,8.788583043117804,6.603650235627615
19.0,1.0,12530.239501350718,1382.8119261897257,187.5319233585579,2478.663729335091,18.454797362765234,8.796920043642341,6.878752252069158
20.0,1.0,12632.03034636589,8735.722630369313,150.7881022712972,942.380522423945,12.68838250814428,5.296006546011439,8.321564184636431
21.0,1.0,16001.660036028341,5582.019769179622,160.46216015418347,1072.1788105391815,11.713366195872034,6.93790011363694,9.064356223753162
22.0,1.0,16488.168098024944,6718.217288138551,146.83551504272623,1398.066965435778,14.94560029894574,8.744060171901774,7.30682105464647
23.0,1.0,18688.13280768937,10491.424398757177,137.7003697035468,890.8898004679977,12.305353170128111,4.934129011624416,7.581195232148938
24.0,1.0,18904.941060341618,7638.697018170326,157.60929957459518,3406.3067069520175,20.609859089277258,16.20716207233548,5.6077531971359695
25.0,1.0,19016.310558268586,20862.445533827,132.06762281988009,618.5530340252733,11.61046059151642,2.927548739558695,8.201233150142158
26.0,1.0,19208.348623584086,4887.07912767905,146.60307391510133,663.7502552687619,10.823166180795656,3.719922088666405,9.18835329501948
27.0,1.0,21358.01141708563,9908.349444127565,129.73507636107962,829.0460678196762,12.686835707236494,4.054799809995118,7.119601490580272
28.0,2.0,586.2402710949366,10863.314339461458,132.59295703070353,992.297810396118,21.646597441155325,4.5142337585064976,6.687316133162872
29.0,2.0,825.3034409929317,13364.431850322539,143.89313684501042,2000.476243218941,29.563562810459675,6.519715557902699,5.188507732414443
30.0,2.0,1539.2999043656887,7318.931012611669,151.27321750755738,2768.9513878874886,29.6114119906116,11.214743773429552,5.217367648351074
31.0,2.0,2980.3443040847997,8349.397274387635,139.3971427144534,2333.355885708022,30.179651371365182,8.115694165358013,4.771234618461819
32.0,2.0,3261.750432986313,10161.199608891891,148.86006028876338,2589.4137442506717,33.300894826723756,8.669534338257744,4.923800716293899
33.0,2.0,3592.374193613849,13175.119395207956,149.68831790681764,2734.555866529056,48.97480615985106,13.191984339170833,5.541338728138542
34.0,2.0,3779.4618068225213,12456.45004437636,149.8266779809064,2780.599703445527,45.24709257846494,15.133017364630307,5.851887029532427
35.0,2.0,4501.187232758061,2526.0298472490144,134.9770656246836,1159.9699429767543,18.156240616419282,6.194584764345831,6.635239463279753
36.0,2.0,4963.904124535237,17901.40258866492,139.15359233936562,701.2033694136255,21.25223637708236,4.585213847533536,8.748326687158231
37.0,2.0,5422.470461199605,5395.663321978088,142.8612520026371,1689.873664215305,25.05231039845316,10.167728171687791,6.545947620897588
38.0,2.0,5745.516476775088,16372.487780036248,148.36992220936082,3399.0789093544095,44.95312813473321,13.437363220406029,4.726106150361259
39.0,2.0,6222.564542526076,5891.972565401372,143.4495415283358,2553.184602437689,35.37559645109463,10.162665507560032,4.966511642903981
40.0,2.0,6941.654676930544,8273.10239712059,125.53889783750178,1970.1653328284308,72.59117764351362,40.65518507797863,11.857115871454631
41.0,2.0,7216.687434464043,7685.822018625656,124.1013178572888,2249.371852423521,70.53666599819674,44.04515381614147,10.992874746936943
42.0,2.0,8359.317442637275,7881.431404347888,139.63264120591833,1744.1067892437834,30.110342834263363,7.17479997205462,5.5594777686622585
43.0,2.0,9409.927361371754,10426.589564609429,143.42418624125054,1167.8383840133297,24.087824675732858,4.99127798666225,6.767634881793625
44.0,2.0,10038.472162321745,4246.575559871939,149.17313684038552,4335.663084241756,38.79597879481892,16.826159362138277,4.404491348996838
45.0,2.0,10790.887318522475,9455.763808536522,137.34862844318636,1822.279419112169,33.09129375849438,8.386514554923224,5.522848687961695
46.0,2.0,12510.985633595179,1356.2281586227425,159.92914144472303,3332.1194229962653,32.88483706074073,16.549925741585323,5.89594290798159
47.0,2.0,12611.533471958946,8685.435036953506,139.7914773181453,1948.3665050834243,30.25454859129529,7.4598120828258745,5.246450373853833
48.0,2.0,15965.88510394743,5550.7594577464015,145.73464160569893,1721.694897524171,24.246932552355464,6.874255763184741,5.84134355962977
49.0,2.0,16478.438567558278,6678.861903286035,145.58388122317012,1624.1691433143437,25.69950368523754,6.3388946647070314,5.933263765716693
50.0,2.0,18677.976205773568,10451.635250056896,130.62685587995088,459.31190656256666,15.876371825614097,3.5800121428335085,9.944041243066337
51.0,2.0,18894.503056816917,7606.166156667381,150.44070375654843,3377.544809998854,36.86163307244155,10.020899799446823,4.38232655541064
52.0,2.0,19003.76505209119,20829.946952354145,160.12268926063123,708.8071199612077,16.501704221038292,3.175698982517622,9.502789564894561
53.0,2.0,19174.87826700138,4839.175344430063,143.90834564492863,547.4313472628972,14.947920127535413,4.134470175097978,10.370206851028152
54.0,2.0,21337.841814496696,9865.977233873866,131.3576504187705,669.9888520489167,18.135372246145803,3.0945359995298007,7.849111883032507
55.0,4.0,621.7073323991372,10902.7546599523,159.24080650087575,960.2296093038144,12.652503897135084,5.249554635730183,8.783798014829246
56.0,4.0,860.5100701037879,13395.044180234705,147.07400167715195,1585.320732585456,18.385342995427436,8.697319501220743,6.699773042310154
57.0,4.0,1580.543991128296,7343.3203753030875,177.8996613412694,2659.5319963250586,15.0777969121886,14.857676935486715,7.812153196650357
58.0,4.0,3009.734726806102,8382.771994306426,165.32027703939187,1483.1210442183524,14.33466437728553,6.841558418708754,7.526710739427685
59.0,4.0,3296.918952789345,10189.786492865967,157.71439475869857,2596.269755633096,23.870706728444304,13.109372236091238,6.188525198494077
60.0,4.0,3625.274598411579,13211.992838826347,146.7529137511071,1183.3720179442316,24.31063798400694,11.592323994086291,9.484799211081317
61.0,4.0,3813.8299983676047,12486.277204767823,156.9940638921343,2252.242087628155,17.279798376752,15.612795260708223,7.537890066391246
62.0,4.0,4540.9010088059695,2554.4626385430206,175.15189153976087,707.592467401371,10.327216304603335,3.6531344001208934,10.889361646797145
63.0,4.0,4986.155838806646,17953.075649115443,135.98822019180156,423.738745509227,10.209783928009188,2.337492942566859,10.182350757880405
64.0,4.0,5452.440503121678,5423.824156208444,154.57760087014375,1218.6752333517272,18.43851585252927,9.901835751656693,9.206531327994977
65.0,4.0,5769.24741056447,16408.496772871516,140.05509801617458,1745.2223823201784,16.44697079406505,7.520917184440374,5.644589537324741
66.0,4.0,6251.664836745453,5929.395813610566,154.158989473836,1764.7902343987903,24.81655590735471,10.575796289186306,7.187886204287104
67.0,4.0,7046.502027810613,8208.901717532312,277.3375790307881,3736.4570107439736,11.530455667139766,44.65582901457661,32.09121433523724
68.0,4.0,7255.871061672933,7718.438849352109,143.00288068099107,1924.4513513326522,37.47818251784615,27.40772205546491,11.017110822804458
69.0,4.0,8383.57497125677,7922.055574605636,160.43016458707203,2134.247342598926,17.95407171514483,12.93059157755992,7.3070996071707714
70.0,4.0,9436.82477950225,10456.030332190045,137.47823850379166,1124.3722933214656,15.696339891164495,6.709211239993847,7.07715887741473
71.0,4.0,10069.399018392814,4283.430347221798,161.1424595757994,2401.1067867335723,19.549548114998537,13.658172296122833,6.920168448619726
72.0,4.0,10824.46828663352,9496.545016884751,145.17670566697382,1516.6101087460622,17.760413353464248,8.7220718086847,6.7938156921089305
73.0,4.0,12539.256337526795,1380.216950047638,182.79995044344415,2491.014108550511,19.09564027532228,9.39043892811727,6.7900325122279535
74.0,4.0,12628.682396173936,8732.5709462087,148.58475253793011,945.0032194935022,12.29013286898218,4.562058297070827,7.867884159031211
75.0,4.0,15991.390247011006,5583.722473682737,152.73267157282007,1051.8237527198467,12.070206019658045,6.305983881133669,8.302492444314314
76.0,4.0,16490.81238424083,6712.796644445949,146.07209926711297,1391.8989118645352,16.32067179707256,5.430636940203207,6.328518115459505
77.0,4.0,18686.78807595351,10491.557586620323,136.1239833928365,889.35162887316,12.879274283145685,5.233388236692216,7.588654285818901
78.0,4.0,18909.8146505876,7639.326775435435,145.99373921743094,3263.5040133968905,25.874308795298795,13.203671979434581,4.723042895844856
79.0,4.0,19014.03984323514,20851.200409987876,133.97904151495842,661.5022892084996,12.082416310732922,3.0484338220085054,8.061091884248311
80.0,4.0,19211.10217690297,4887.304708044443,149.9681488904518,701.1134050406217,10.953417707782643,4.100534166969205,9.32439755126581
81.0,4.0,21349.637491615078,9913.826184925823,136.9453707239892,821.3791931465429,11.652841841765031,3.082350585227879,7.3237492235211645
82.0,5.0,590.0234773380397,10875.420690279312,137.52186278593928,1039.2012719463455,20.995963715141084,4.349672679775755,6.7415783373445874
83.0,5.0,825.6041895244871,13365.35193317392,139.01918117865327,2030.8267255754265,31.66344155635533,7.189187298207444,5.03871074255094
84.0,5.0,1538.4679221300894,7322.852066908124,149.81010371385048,2673.663305456805,29.511147457450775,9.87965070870898,5.049840019666926
85.0,5.0,2981.144732079971,8346.09801588996,142.1320598848575,2418.7080501974956,29.85145510768967,11.81001668386163,5.368712279833354
86.0,5.0,3265.2942146965497,10163.396791442652,143.5055630047195,2347.190247745845,36.12700508537042,12.044754992969292,5.60096193478745
87.0,5.0,3595.1409551738693,13184.166051985148,147.86433388962323,2717.7190705179614,52.777304330054875,13.506504586750506,5.52774419301032
88.0,5.0,3781.1078740544904,12462.522688459287,154.04896749771845,2858.3686647481345,42.925428384591505,15.563979950271786,6.062766897111556
89.0,5.0,4498.739335102882,2523.166349666766,145.89457977875014,1233.1626774606782,17.480323114215974,5.366555079300049,6.782905696994734
90.0,5.0,4963.09339997367,17895.678980141874,141.36069457597222,661.9695309363335,22.38788265835704,5.2262464602665055,9.601351352587125
91.0,5.0,5429.8980789340585,5399.074968505973,140.72624010988096,1613.7965433733973,26.437042468510164,11.243802627577828,6.922202508098524
92.0,5.0,5747.256948666583,16364.599729213267,147.50601225848231,3504.3563777326203,44.906390658944936,11.854112905904167,4.3890272885191
93.0,5.0,6222.539183586895,5898.404615381262,138.98633689601579,2524.0702362083607,38.21429319079647,9.699397588119949,4.7391789689770905
94.0,5.0,6932.498191998592,8280.640395726348,124.46493244375947,2027.8950084682526,74.83474180627195,40.831189095469576,11.399044656475645
95.0,5.0,7218.139513966977,7684.14527376683,127.13862164293938,2375.427532513358,71.96487448291866,43.88362369320183,10.892384272776516
96.0,5.0,8357.830086134629,7881.025604808284,141.75633520787102,1845.2156335460663,31.087097879033347,9.164053098784017,5.865008994164158
97.0,5.0,9408.234713088237,10428.86985355508,134.67045578472346,1156.6781450523147,25.224837291392664,4.65552401803825,6.256083886741535
98.0,5.0,10043.159446394031,4250.70426134371,147.78257125379437,4297.570624192556,37.99142515384217,15.095529959242246,4.178814206420549
99.0,5.0,10785.418049211961,9455.30501414557,140.43603181431936,1862.8039481633332,34.12468618595441,7.469457054004649,5.426770916423226
100.0,5.0,12505.801955603161,1363.8519097042379,163.81014875115216,3501.4930646427256,32.29288122206667,15.873818047275314,5.7571100126117445
101.0,5.0,12606.272773864443,8680.80507501494,143.1432133562075,2111.745728077092,27.56535661371162,6.581242656277642,5.002238016607971
102.0,5.0,15970.481638554687,5551.383111278988,144.97720583705308,1731.4102950268139,26.014736571330246,9.178254109126346,6.311164083378578
103.0,5.0,16468.8460858622,6678.112067510488,139.5914701953813,1529.7402971235015,27.633038899301877,5.616928502094772,5.712543182193491
104.0,5.0,18661.16730269053,10447.695930930036,147.01846174297017,457.21795420497153,16.06888429556113,2.8275874775124583,10.925191278064425
105.0,5.0,18893.56458146272,7608.093391345707,152.7604308946811,3381.0966853365744,36.71816369475412,10.452189301107147,4.51875149934706
106.0,5.0,19007.72377844035,20827.761593783183,155.59860884559427,670.0397295406714,17.571135626159027,3.6520952696363413,9.762415268856879
107.0,5.0,19181.16889821184,4852.769486137741,143.6692530967127,550.9566201520258,14.244356021772644,2.2722734406721723,9.308730543698227
