"id","frame","x [nm]","y [nm]","sigma [nm]","intensity [photon]","offset [photon]","bkgstd [photon]","uncertainty [nm]"
1.0,2.0,996.444728799387,19931.912442328416,139.98766233706155,559.9656310385452,10.060988674076123,2.7122986098385287,9.150217735489441
2.0,2.0,1133.5220109925212,16322.162716003248,155.82156220199346,2852.2165539320094,24.232186027543094,16.362424256618908,6.351564747466631
3.0,2.0,2845.3652229619656,20284.12571365871,129.41539952924325,535.043591851182,10.488838428066531,2.6029521249825565,8.585835863700611
4.0,2.0,3032.3333955686967,3513.503712382919,182.3238808910646,1545.209526499132,13.543459270224146,8.014494469977013,8.885293045825774
5.0,2.0,3781.964596559627,2689.0419723320056,180.5805236235968,597.082032150715,11.375015754842961,4.236888706808828,13.222857527373069
6.0,2.0,4599.446399634986,9906.160301693986,157.71840223135612,3241.495210190087,21.781959131003156,17.871438151812896,6.155949324666401
7.0,2.0,5275.0857221813585,12701.963015219673,146.21736354117348,2642.535118994057,22.839003853123316,13.464231403892498,5.543970574724819
8.0,2.0,5296.804920220782,3017.037710352873,170.45758383109555,915.0302577220914,13.047221004597787,5.201647702266006,9.86758913820742
9.0,2.0,6791.960783949376,15672.039929582801,144.0610237934222,1759.1835162660034,18.768939881890518,9.592886444094129,6.2920542519401765
10.0,2.0,6922.97508962651,16523.463512143237,134.45873285071102,1558.831476831209,26.059261416615115,7.694774931452181,5.8015834995197535
11.0,2.0,8916.234148398225,10461.395224813483,150.9055739993645,1197.9250807956605,13.796942571905426,6.169714072638967,7.456643449664327
12.0,2.0,9326.26706512868,13347.707820005096,131.41912439184406,1185.220553551887,15.559335195395276,6.193608292611994,6.338822061781005
13.0,2.0,11071.734307090917,18408.743215713523,126.88214211166489,1060.610915100487,18.520585977410306,4.270305929413367,6.079482715552693
14.0,2.0,11429.5168601575,4240.794441213107,166.22379365401127,3206.7085485683965,17.199374441218847,15.614849921125872,6.2418262062122905
15.0,2.0,11346.782386993335,17190.384696117955,131.26421732083566,1981.632202830292,22.529736213994468,6.497277804565577,4.693193336339466
16.0,2.0,12343.68756504549,817.2393084457822,158.4836040951574,1416.1471682462425,15.381432570106641,8.144228004103557,7.819027511042787
17.0,2.0,13397.472674144883,1740.158451185445,170.3221202355018,1471.315577357054,15.18064216441533,7.988248930355669,8.346306598122935
18.0,2.0,13885.876588105046,6940.0288865166995,144.68201217897447,1974.4320348232864,20.422667703917508,10.622735632301364,6.0781307262838675
19.0,2.0,14103.751531839285,2677.7931148914395,160.6841950542464,764.9123788712963,12.968671858797213,4.113248883690188,9.61217080380218
20.0,2.0,14951.062056302675,5580.581302152388,157.97976350244022,2287.4112168444785,15.565768655520447,12.299418274700617,6.607924896712649
21.0,2.0,15000.601433941189,10274.359208008684,138.18084337671573,1701.8917700697561,18.64935821868563,8.927485051239241,5.934849921641901
22.0,2.0,16393.260005176566,17115.44802598678,132.5792224764962,925.7437465835263,13.06421579020333,4.1433260699545835,6.866329747729306
23.0,2.0,16984.854916057546,13384.936511808437,157.10907376523141,3273.5753343427746,23.201205653684635,16.46744498603913,5.801460925616926
24.0,2.0,17466.67509847612,5191.263014107171,145.54808042357197,2020.7522953491339,17.808655540997194,10.3948916334645,5.978300548495218
25.0,2.0,20969.404389698615,9862.632086906817,133.23221698553522,679.4495755082905,11.580659254239812,3.086167597505965,7.904973158099181
26.0,3.0,955.0021379167049,19903.3488579005,136.48243311252853,611.7542704903364,17.95157558576824,3.6384382058420046,8.841915926392096
27.0,3.0,1117.9983305325218,16270.593894942895,161.80164944334166,3347.23122137757,37.46035510606994,12.034486940982262,5.151539835684834
28.0,3.0,2822.8096492249874,20284.990720407575,155.22228520210513,517.3000016377495,15.062509491070116,2.951130986843151,10.89537431778928
29.0,3.0,2987.7135595539694,3466.7518479629557,138.47274094951706,1134.279120586419,20.107179938523938,5.357915978091935,6.706863785722925
