n,x,y,z
0,192.60029046133,186.921743447109,146.523458519541
5,178.386125016169,173.280009881267,139.614006424702
10,165.227616530246,160.643718340294,133.835241321113
15,153.078912798419,148.968079789943,129.046229861133
20,141.887168531521,138.202751052819,125.128185668493
25,131.595461981127,128.294093526383,121.982234341585
30,122.145017759953,119.186958879702,119.527036195226
35,113.476873162889,110.826075627799,117.696539177588
40,105.533102921977,103.157102813785,116.437987600136
45,98.2576958579793,96.1274086944332,115.710231785604
50,91.5971585430478,89.6866244364876,115.482342296734
55,85.5009061694319,83.7870157291545,115.732513418665
60,79.9214889077031,78.3837089219843,116.447234145335
65,74.8146925411839,73.4348027260566,117.620705354552
70,70.1395445376851,68.9013915814975,119.254485957608
75,65.8582505363828,64.7475224277412,121.357356890747
80,61.9360811704994,60.940102767263,123.945399086751
85,58.3412249879434,57.4487745540673,127.042289779074
90,55.0446198073889,54.2457655348711,130.679830754309
95,52.0197720328857,51.3057271927551,134.898732848097
100,49.2425711493051,48.6055663558221,139.749693675909
105,46.69110475408,46.1242757996694,145.294821162849
110,44.3454779800343,43.8427677522904,151.609475074287
115,42.1876399706111,41.7437130630254,158.784624086499
120,40.2012191307416,39.8113878836616,166.929849243494
125,38.3713681487422,38.0315289924688,176.177169100798
130,36.6846192277899,36.3911983364938,186.685921960172
135,35.1287495462892,34.8786569433466,198.649022786634
140,33.6926566571748,33.4832480342729,212.301025959844
145,32.3662433147459,32.1952889330048,227.928583470214
150,31.1403110683369,31.0059711913425,245.884111373266
155,30.0064618767812,29.9072682289538,266.603794591079
160,28.9570069788214,28.8918497037851,290.631515067332
165,27.9848823219606,27.9530017916329,318.650945764377
170,27.0835700549749,27.0845525747202,351.529009686091
175,26.2470260305837,26.2808018626307,390.375301790052
180,25.4696141498932,25.5364550908863,436.624119077907
185,24.746050110564,24.8465616644269,492.148726766555
190,24.0713604799258,24.2064596496711,559.421764539982
195,23.4408695372707,23.6117319172457,641.741597975227
200,22.8502390277748,23.0581854306336,743.551866087577
205,22.2956107267366,22.5418788948277,870.888756569647
210,21.7739497911646,22.0592515221429,1031.990782725
215,21.2837786807045,21.6074609695387,1238.07729177742
220,20.8266587347159,21.1851455517935,1504.18277274602
225,20.4100462882806,20.7940151792089,1849.56329204512
230,20.052440147348,20.4419342184499,2296.20274692576
235,19.791442612025,20.1481968489878,2861.74458862441
240,19.6922600612086,19.9502277320535,3539.90067429821
245,19.8437853248544,19.9048589016132,4262.78950596111
250,20.3144968448574,20.0663922191444,4865.26875034422
255,21.0629016961184,20.4313889026929,5126.40265989213
260,21.900309631868,20.9022369546279,4930.66235847844
265,22.6110048460694,21.3455381567878,4379.81879387335
270,23.0988636167411,21.6858447096364,3689.19814561977
275,23.390302549943,21.9224584688083,3026.31086472393
280,23.5564140543745,22.0891530702365,2464.43659096927
285,23.6608215054551,22.2212823255512,2014.73373476026
290,23.7464183341688,22.3447483709459,1662.87887367648
295,23.8387628554091,22.4760923945898,1388.86399890022
300,23.9521906772639,22.6252926305879,1174.51773579893
305,24.0944907252001,22.7982698557231,1005.3625858159
310,24.2698264796905,22.9985777113338,870.441005243818
315,24.4804247310134,23.2284360792327,761.616918556309
320,24.7275213903781,23.4893392957921,672.873317377815
325,25.0118848591387,23.7824099251142,599.744230721829
330,25.3341045254369,24.1086047448278,538.890014184988
335,25.6947495941541,24.4688356870502,487.78979255993
340,26.0944564206695,24.8640418594939,444.521302546761
345,26.5339764627115,25.2952333599717,407.603518173442
350,27.0142026534225,25.7635188110183,375.883704259145
355,27.5361841254141,26.2701235390286,348.455793607731
360,28.101134856236,26.8164024584579,324.600900862521
365,28.7104393721718,27.4038500676047,303.743569748546
370,29.3656572776348,28.0341089973018,285.419287178144
375,30.0685276009648,28.7089779846951,269.250134570779
380,30.8209735049144,29.4304198052317,254.926368898459
385,31.62510765705,30.2005694919007,242.192364216965
390,32.4832384104928,31.0217430467427,230.835788734394
395,33.3978768625095,31.8964467732412,220.679203950797
400,34.3717448108745,32.8273873103717,211.573492500713
405,35.4077836001691,33.8174824181333,203.392678141623
410,36.5091638331652,34.8698725433361,196.02981399392
415,37.6792959107978,35.9879331787885,189.393696759666
420,38.9218413546271,37.1752880160345,183.406224269434
425,40.2407248561965,38.4358228794968,178.000257610568
430,41.640146986943,39.7737004170879,173.117881672315
435,43.1245974894704,41.1933755079462,168.708982308658
440,44.6988690554345,42.6996113313089,164.730076672077
445,46.3680714764766,44.2974960208784,161.143347194273
450,48.1376460322392,45.9924598058512,157.915840323277
455,50.0133799530704,47.7902925124168,155.018799301166
460,52.0014207643653,49.6971612675392,152.427106591099
465,54.1082902842609,51.7196282095776,150.118816485296
470,56.3408980065257,53.8646679673864,148.074762279925
475,58.7065535558012,56.1396846204572,146.27822543808
480,61.2129778530378,58.552527797102,144.714656565278
485,63.868312575214,61.1115075054314,143.371439934609
490,66.6811274357958,63.8254072228911,142.237694829731
495,69.6604247517525,66.7034946946895,141.30410820401
