n,x,y,z
0,10.03303213427905,10.62319559549381,18.84877294166249
5,9.804533593048708,10.33571848880754,18.16338112564222
10,9.579100060093573,10.05588965007592,17.576430708827
15,9.356812826133623,9.784044791942845,17.07793675465578
20,9.137996189831265,9.520461758890454,16.658999359231
25,8.923089934008162,9.265365526029267,16.31187994537322
30,8.7125680796458,9.018929167222232,16.02997187760412
35,8.506889189434061,8.781274185125937,15.80772299222171
40,8.306467727722818,8.552471609741895,15.64054174023991
45,8.111659224945059,8.332544264391927,15.52470372607165
50,7.92275431984854,8.121470127726919,15.45726703011833
55,7.739978367124581,7.919186534509804,15.43600010713828
60,7.563494399897431,7.725594915661505,15.45932363896471
65,7.3934079826099,7.540565802972791,15.52626654712233
70,7.229772993476393,7.363943875656182,15.63643589461233
75,7.072597715627293,7.195552884199573,15.79000031612916
80,6.921850845990276,7.035200342342114,15.98768673611549
85,6.777467187139596,6.882681926843866,16.23079036408233
90,6.639352894466568,6.737785566600342,16.52119823667838
95,6.507390226165125,6.600295238757445,16.86142686395342
100,6.381441798998154,6.469994521925888,17.25467479126573
105,6.261354398222887,6.346669988105156,17.70489104978861
110,6.146962433922799,6.230114548782422,18.21686043993284
115,6.038091187261783,6.120130910791296,18.79630620277186
120,5.934560059860292,6.016535348603687,19.45000958516173
125,5.836186142790821,5.919162067335866,20.18594357211775
130,5.742788580823475,5.827868520926772,21.01341374013504
135,5.654194455524836,5.742542167769114,21.94319122507608
140,5.570247295727417,5.663109291413225,22.98760856570413
145,5.490819911786672,5.58954667095252,24.16056429617957
150,5.415834119328933,5.521896998508909,25.47733953711396
155,5.345291126307781,5.460288861803576,26.95405863903076
160,5.279317831074513,5.404961492629517,28.60651127701802
165,5.218235520583246,5.356292593853775,30.44787969242023
170,5.162656856763705,5.314822999322452,32.48468056016189
175,5.11361053440281,5.281262444398763,34.70999297152925
180,5.072672258787591,5.256443959525698,37.09302092839905
185,5.042033383744132,5.24117178867065,39.56479179709733
190,5.024359846333223,5.235895466247707,42.00235436017355
195,5.022226138715879,5.240187849603151,44.2191869379853
200,5.036999220633313,5.252175128167281,45.97617214755356
205,5.067488865948222,5.268338295498733,47.02756212192845
210,5.109317809090456,5.284178657710212,47.19792565302283
215,5.155943914449147,5.295708672350802,46.45293855640932
220,5.201004215200917,5.30087846668463,44.91479406601816
225,5.240377834807763,5.299956667729794,42.81011827459602
230,5.272753081052535,5.294814560221123,40.38921931933272
235,5.298907620618584,5.287858254018691,37.86436530947508
240,5.320621490486915,5.281261424640566,35.38504012966327
245,5.339856774229652,5.276652560299692,33.04089161808168
250,5.358338768243755,5.275108342110473,30.87636519682027
255,5.377424834484728,5.277272510922228,28.90629021558661
260,5.39811888427077,5.283491767928658,27.12810500652543
265,5.421137967453642,5.293926308626378,25.53012514261949
270,5.446985114643054,5.308627598887786,24.09664277537896
275,5.476011253687578,5.327588890494911,22.81085540839264
280,5.508462571907701,5.350776381501968,21.65643039538696
285,5.544514860848214,5.378147694928088,20.61825922777503
290,5.584297715018917,5.40966243176279,19.68275231145911
295,5.627911321050715,5.445287925252677,18.83788550463971
300,5.675438017186972,5.485002162660439,18.07312133524395
305,5.726950228309663,5.528795077496488,17.37927427919503
310,5.782515912012133,5.576668934494175,16.74835795974175
315,5.842202301920604,5.628638234171414,16.17343396771511
320,5.906078486483582,5.684729385001778,15.64847175086555
325,5.974217189607866,5.744980284085343,15.16822337180795
330,6.046696001900914,5.809439883553311,14.72811392829978
335,6.123598231174168,5.878167782422997,14.32414691998386
340,6.205013486334071,5.951233861719677,13.95282316836607
345,6.291038071552214,6.028717968050687,13.61107167020845
350,6.381775242033685,6.110709643639607,13.29619077197733
355,6.477335354980071,6.197307896816133,13.00579817272012
360,6.577835936912443,6.288621004736849,12.73778842792347
365,6.683401679649474,6.384766338864203,12.49029680185895
370,6.794164370768321,6.485870202963786,12.26166848282606
375,6.910262759516182,6.592067672802252,12.05043232645605
380,7.031842355362505,6.703502426167049,11.85527842424977
385,7.159055153316246,6.820326551183169,11.67503890780994
390,7.292059277539109,6.942700320113104,11.50867149531852
395,7.43101853249966,7.070791914862931,11.35524536759968
400,7.576101848832967,7.204777089265857,11.21392902875197
405,7.727482609133922,7.344838751870745,11.08397986274123
410,7.885337837100329,7.49116645143802,10.96473514434047
415,8.049847231758333,7.643955745653078,10.85560430189531
420,8.221192026981209,7.8034074317404,10.75606226188604
425,8.399553655223658,7.969726615739928,10.66564373226281
430,8.585112193418873,8.143121595252959,10.58393830390625
435,8.778044568458194,8.323802528556261,10.510586268083
440,8.978522499744132,8.511979861228186,10.44527506297398
445,9.186710157168294,8.707862479964225,10.38773627473681
450,9.402761514747038,8.911655562255511,10.33774312846513
455,9.62681738330626,9.12355809027477,10.29510841211097
460,9.859002110337709,9.343759997918001,10.25968278210379
465,10.09941994176423,9.572438921794085,10.23135340319891
470,10.34815104916946,9.809756530391352,10.21004287705306
475,10.60524723737717,10.05585441107865,10.19570841423101
480,10.87072736136391,10.31084950245245,10.18834120279474
485,11.14457249853255,10.57482907027154,10.18796592332606
490,11.42672094240277,10.84784523927586,10.19464035525403
495,11.71706310663295,11.12990911096488,10.20845501273459
