n,x,y,z
0,13.87805067224248,13.67193268880113,12.10468746063033
5,13.35612687182062,13.16358651284926,11.81583710215667
10,12.85408948662822,12.67453030057895,11.568718222911
15,12.3725063264651,12.20524804295034,11.35985166545466
20,11.91164004373541,11.75596661499253,11.18607105593796
25,11.47150652622082,11.32669826235267,11.04455677433843
30,11.05192371308964,10.9172779977292,10.93284209138804
35,10.65255242478952,10.52739643158739,10.84880358277299
40,10.27293059073101,10.15662851608668,10.79064352113144
45,9.912501997880216,9.804458613020568,10.75686905124367
50,9.570640445813844,9.470302235751909,10.74627108799764
55,9.246670004354643,9.153524770772979,10.75790469462641
60,8.939881929181341,8.85345745581828,10.79107196460736
65,8.649548690029087,8.5694108739199,10.84530798799886
70,8.374935494538756,8.300686211482608,10.92037022987811
75,8.115309638971443,8.046584519393381,11.01623151947829
80,7.869947977623448,7.806414206744541,11.13307680233775
85,7.638142770853618,7.579496985556977,11.27130381894987
90,7.419206144014931,7.365172471495226,11.43152792737301
95,7.21247336444896,7.162801630141316,11.61459137671649
100,7.017305120151546,6.971769241435211,11.82157746140121
105,6.833088961376107,6.791485537028655,12.05383014493107
110,6.659240045232962,6.62138714713846,12.31297994290119
115,6.495201303317019,6.460937475554566,12.6009771084031
120,6.340443133625724,6.309626604139234,12.92013348396579
125,6.19446270056913,6.166970811708841,13.27317479357512
130,6.056782910736516,6.032511776738923,13.66330567469571
135,5.926951117251534,5.905815518905632,14.09429043217976
140,5.804537592020126,5.786471121009151,14.57055338550475
145,5.689133793008027,5.674089260225362,15.09730384771447
150,5.580350443147536,5.568300565822799,15.68069231166998
155,5.477815429236476,5.468753809503021,16.32800644877013
160,5.381171524753825,5.375113924726163,17.04791820332711
165,5.290073942957754,5.287059843772615,17.85079678233935
170,5.204187742095293,5.204282138270388,18.74910690369253
175,5.123185145061976,5.126480455695769,19.75791744567357
180,5.046742924886624,5.05336077189095,20.89555261480076
185,4.974540190868297,4.984632550592561,22.18442531972724
190,4.906257278203601,4.920006061954711,23.6520985229637
195,4.841577174565195,4.859190459042092,25.33261924821883
200,4.780192363051387,4.801893942043452,27.26814746343391
205,4.721822818227787,4.747828861156192,29.5108243966455
210,4.6662565072191,4.696727746223204,32.12461334747859
215,4.613434586152111,4.648382618668422,35.18632250999556
220,4.563623421659142,4.602732400628295,38.78379523391206
225,4.517747922171024,4.560045523808824,43.00654940872518
230,4.477995103542209,4.52127572908907,47.91870977943542
235,4.448757423373969,4.48867428635536,53.49527632066602
240,4.437596203037023,4.466567779856643,59.49706441748374
245,4.454636385256871,4.461486176333308,65.29004139959716
250,4.507160618932655,4.479552680697527,69.7514784814216
255,4.589433701026565,4.520109390567102,71.5989012477994
260,4.679776664742453,4.571896428685573,70.21867528285078
265,4.75510303211922,4.620123175499524,66.18019940944082
270,4.806127715400528,4.656806277872894,60.73876970782146
275,4.836352194572165,4.682142508383134,55.01191566128133
280,4.853495034959292,4.699909900225376,49.64309207703797
285,4.864239046907039,4.713945515759723,44.8857854421671
290,4.873029687388412,4.727023203977943,40.77841185819379
295,4.882495556107461,4.74089573757848,37.26746568926065
300,4.894097534506632,4.756605158155121,34.27123773368756
305,4.908613931162249,4.774753381665183,31.70745315877483
310,4.926441563612675,4.795683237176305,29.5032371993959
315,4.947769672389106,4.819588787358596,27.59740782313276
320,4.97267748706651,4.846580165002132,25.93980179912358
325,5.001188344697558,4.876721226922265,24.48967600279409
330,5.033299566431239,4.910051399407933,23.21400469942634
335,5.068998874941096,4.946598395569444,22.08596370005008
340,5.108273330653862,4.986385650899246,21.083673838939
345,5.151114099174226,5.029436684159738,20.18919310357504
350,5.197518893993797,5.075777655790126,19.38772045030423
355,5.247493127714804,5.125438863066128,18.66697065963653
360,5.301050354055883,5.178455605531238,18.01668395855689
365,5.358212329888747,5.234868677207166,17.4282405809808
370,5.419008883332339,5.294724638477605,16.89435666659562
375,5.483477692210008,5.358075959212887,16.40884318197901
380,5.551664030262854,5.424981088006824,15.96641377700262
385,5.623620511472124,5.495504480200221,15.56253077802467
390,5.699406847251107,5.569716603808734,15.19328103914339
395,5.779089622294284,5.647693934097456,14.85527529030671
400,5.862742089745591,5.729518942317208,14.54556607701168
405,5.950443983449395,5.815280080798629,14.26158049241468
410,6.042281343430245,5.905071764452664,14.0010647450085
415,6.138346349856596,5.998994347287594,13.76203824873576
420,6.238737160245421,6.097154091544226,13.54275541643701
425,6.343557744373145,6.199663126291363,13.34167371848705
430,6.452917711155396,6.306639391711555,13.15742686365062
435,6.566932121582376,6.41820656476139,12.98880218914192
440,6.68572128161461,6.534493961379787,12.8347215268613
445,6.809410508735437,6.655636409906899,12.69422495445362
450,6.938129865622234,6.781774089856665,12.56645695187299
455,7.072013854134506,6.91305232964548,12.4506545732008
460,7.211201062539118,7.049621356323984,12.34613731460569
465,7.3558337586069,7.191635989785468,12.25229841643175
470,7.506057420945146,7.339255273349361,12.16859738342612
475,7.662020200691277,7.492642032050991,12.09455354438848
480,7.823872305517122,7.651962349430504,12.02974050282374
485,7.991765297805861,7.817384953130516,11.97378135488572
490,8.165851298903,7.989080499212103,11.92634457114715
495,8.346282091551453,8.167220744824368,11.88714045529916
