n,x,y,z
0,14.03515147048848,14.2534628897309,13.8016568297646
5,13.57530678328626,13.76122619755736,13.2781239508774
10,13.12430839475704,13.28032159603298,12.82166668058268
15,12.68397578528188,12.81256558666601,12.42634669259047
20,12.25574175471183,12.35936303783528,12.08643287890178
25,11.84070335186732,11.92176152968969,11.7966261133825
30,11.43966925010688,11.50049973253428,11.55215848793545
35,11.05320189210389,11.09605071862115,11.34882037621254
40,10.68165436653176,10.70866096769872,11.18294815457619
45,10.32520258357307,10.33838560374535,11.0513922838503
50,9.983873433461424,9.985120206064426,10.95147729834309
55,9.65756953427814,9.648629406853084,10.88096028489085
60,9.34609104488263,9.328572418239224,10.83799146814861
65,9.049154898104016,9.02452560974861,10.82107877910373
70,8.766411718720978,8.736002264791276,10.82905728977333
75,8.49746063156941,8.462469666993064,10.86106385201464
80,8.241862131040449,8.203363693029585,10.91651700282544
85,7.999149166237576,7.958101111085081,10.99510208496438
90,7.768836589017438,7.72608979953781,11.09676151696097
95,7.550429109663722,7.50673710777369,11.22169019432639
100,7.343427903489814,7.299456580522409,11.3703360944199
105,7.147336009194621,7.103673260036838,11.54340628187248
110,6.961662655390816,6.918827768406806,11.74187866765545
115,6.785926645210682,6.744379356966059,11.96702006588871
120,6.619658920547977,6.579808092627513,12.22041132584448
125,6.462404417813953,6.424616333355985,12.50398060420897
130,6.313723316680681,6.278329627916736,12.82004620148535
135,6.173191772789171,6.140497159386469,13.17137083960626
140,6.04040221548462,6.010691838425041,13.56122983657902
145,5.914963283050124,5.888510141706296,13.99349638004226
150,5.796499461592513,5.773571784041426,14.47274807047908
155,5.684650491051425,5.665519310754928,15.00440016977733
160,5.579070604888246,5.564017701548352,15.59487264716391
165,5.47942768242874,5.468754091205958,16.25180028303314
170,5.385402420646752,5.379437740617433,16.98429791721709
175,5.296687685965173,5.295800441227652,17.8032965690378
180,5.21298830501483,5.217597619647092,18.72197073805778
185,5.134021729349507,5.144610547617157,19.75628269735061
190,5.059520322338798,5.076650290795201,20.92567557242793
195,4.989236574539636,5.013564406578288,22.2539519438719
200,4.922953552625232,4.955248024022622,23.77037455101793
205,4.860504681867193,4.901661966178084,25.51101043140597
210,4.801810188392519,4.852862248331339,27.52028610117702
215,4.746943271643827,4.809047917841888,29.8525756640962
220,4.696248999443322,4.77063799666924,32.57328648473838
225,4.650554760956159,4.738392535817511,35.75807992749429
230,4.611531366601826,4.713593056054754,39.48704584502733
235,4.582270232718046,4.698277423828642,43.8269459773812
240,4.568057147477251,4.695435282989065,48.78823187219516
245,4.576922926593423,4.708810597201973,54.23690039324408
250,4.618484402924243,4.741466913815017,59.75154058809798
255,4.698374739717906,4.792149199953107,64.49145852323089
260,4.808322947199148,4.850924506322707,67.30649355594021
265,4.922579829893712,4.900751100516869,67.31425174602775
270,5.012701568519315,4.928430094099469,64.56860049040199
275,5.066692875077549,4.933255371864668,60.00442899755042
280,5.090082531561036,4.923404934010659,54.73958228779892
285,5.094767463888308,4.907927403607881,49.55738552287197
290,5.090975345688692,4.892914309559631,44.8408280728813
295,5.085270096490638,4.881506269564047,40.70886046800414
300,5.081277410925091,4.874987611285263,37.14979827947334
305,5.080802850926466,4.873692762243554,34.10131751137586
310,5.084647670602998,4.877535444459395,31.4891432868821
315,5.093094938895612,4.886274734827587,29.24304922130734
320,5.106175506713356,4.899636972318123,27.30215173211991
325,5.123807410588302,4.917366553900981,25.61565527353521
330,5.145866880171329,4.939243757427973,24.14189738846332
335,5.172223415006722,4.965088127022088,22.84692208020483
340,5.202756275633724,4.994756068852282,21.70307002530504
345,5.237361491062012,5.028136551815374,20.68775194205837
350,5.27595412421868,5.065146581747531,19.7824384036159
355,5.318468254315033,5.105727097670683,18.97184935169479
360,5.364855942401986,5.149839484589699,18.24331167486296
365,5.415085822624707,5.197462705903728,17.58625233889594
370,5.469141635421997,5.248590986722141,16.99179858548041
375,5.527020848875314,5.303231960467353,16.45246187336114
380,5.588733426746815,5.361405194126769,15.96188707965546
385,5.654300757592657,5.423141018298086,15.51465255873569
390,5.723754738112204,5.488479600567656,15.10610992328495
395,5.797136994630729,5.557470212274646,14.73225496218223
400,5.874498223460664,5.630170648507015,14.38962307399197
405,5.955897630718127,5.706646769135785,14.07520409827413
410,6.041402453342229,5.78697213499837,13.78637257541914
415,6.131087544704137,5.871227718244106,13.52083034354692
420,6.225035009880716,5.9595016696171,13.27655905354158
425,6.323333877188228,6.051889128296287,13.05178070021229
430,6.426079793850431,6.148492062030193,12.84492466652588
435,6.533374734687251,6.249419126841686,12.65460008714724
440,6.645326713462928,6.354785536652083,12.47957257840568
445,6.762049487055948,6.464712933875649,12.31874457037392
450,6.883662242926203,6.579329252433374,12.17113862504339
455,7.010289260496703,6.698768564782612,12.03588324182218
460,7.142059537059174,6.82317090449782,11.91220074467837
465,7.279106368691215,6.952682055702353,11.79939691957415
470,7.421566876459013,7.087453300266323,11.69685213039953
475,7.569581467910052,7.227641113178483,11.60401368958879
480,7.723293223562387,7.373406795890459,11.52038929839348
485,7.882847197808708,7.524916036744477,11.44554140325542
490,8.048389623411369,7.68233838685489,11.37908234037161
495,8.220067008616725,7.845846639048777,11.32067016144186
