n,x,y,z
0,335.379069445748,338.539373577263,83.7737173461383
5,317.629985002602,320.561691898386,79.8481851011379
10,300.500769383825,303.096754920607,76.3593170631353
15,283.947776125543,286.133625108168,73.2899552008166
20,267.952866663189,269.683987869595,70.6193217110375
25,252.516749218483,253.774689504542,68.3244638540114
30,237.652743319888,238.440956477917,66.3813870781871
35,223.381200429674,223.720556047435,64.7659461128028
40,209.724770745193,209.649087155012,63.4545442402168
45,196.70463841002,196.256490976679,62.4246757327607
50,184.337765841753,183.564764561944,61.655336300579
55,172.635107982898,171.586768396521,61.1273207057619
60,161.600691630797,160.325952632814,60.8234241380737
65,151.231411075798,149.776792144056,60.7285631244268
70,141.517370958546,139.92571539411,60.8298315341417
75,132.442607917025,130.752329730639,61.1165069257824
80,123.986038899809,122.230777649088,61.580021726349
85,116.122509774058,114.331096779219,62.2139124955916
90,108.823847378037,107.020494466228,63.0137589328422
95,102.059847090426,100.264481683652,63.977122524417
100,95.7991534924606,94.0278384924316,65.1034929972801
105,90.0100123746576,88.2754037976669,66.3942491910575
110,84.6608878597793,82.9726962366596,67.8526396859122
115,79.7209491569538,78.0863816956839,69.4837875814986
120,75.1604381848584,73.5846074237431,71.2947232300691
125,70.9509328905187,69.4372241703652,73.2944484806198
130,67.0655224007505,65.6159172342396,75.4940360779404
135,63.4789099155371,62.094265569635,77.9067682679898
140,60.1674580771157,58.8477457466458,80.5483193855958
145,57.1091898661555,55.8536950048565,83.4369882524052
150,54.2837561966181,53.0912451376101,86.5939876213866
155,51.672379506505,50.5412366464108,90.0437997216154
160,49.2577808950244,48.1861205863415,93.8146092643391
165,47.0240968018742,46.0098538072593,97.9388281847347
170,44.9567898864057,43.9977918742305,102.453730074951
175,43.0425576432826,42.1365827989753,107.402216932265
180,41.2692413722027,40.4140637985754,112.833746799779
185,39.6257373799885,38.8191625827345,118.805458518209
190,38.1019117088931,37.3418041220834,125.383539682804
195,36.6885192302505,35.9728234362234,132.64489675454
200,35.3771275944439,34.7038846342249,140.679203134107
205,34.1600462658763,33.5274062191677,149.591423287536
210,33.0302606772978,32.4364925129469,159.504940692368
215,31.9813713963794,31.4248709525308,170.565457238294
220,31.0075380961085,30.4868349416372,182.945885725411
225,30.1034280488918,29.6171919025193,196.852530940846
230,29.2641688132665,28.8112161533336,212.532956705667
235,28.4853047441969,28.0646062311316,230.28607836301
240,27.7627569260766,27.3734462837195,250.475220368221
245,27.0927860949332,26.7341711610844,273.545163896133
250,26.4719580753976,26.1435348444715,300.044620697578
255,25.8971111996343,25.5985818539168,330.656170037444
260,25.3653250872892,25.0966212669075,366.236584286551
265,24.8738900298305,24.6352029528054,407.871802486061
270,24.4202760126033,24.2120955650174,456.952842702305
275,24.0021000815245,23.8252657102715,515.282086832443
280,23.6170902518886,23.4728574869376,585.224313223942
285,23.2630433563497,23.1531711701073,669.924753451773
290,22.9377729625547,22.864639066993,773.629295993136
295,22.6390414740338,22.6057951795081,902.163188408982
300,22.3644673101081,22.3752327198558,1063.66017807564
305,22.1113929693812,22.1715385898603,1269.69429267389
310,21.8766919815337,21.9931843463306,1537.06855456553
315,21.6564818790516,21.8383342251071,1890.68434336275
320,21.4456994316347,21.7044930523284,2368.1760984473
325,21.2375015649599,21.5878428793983,3027.30532867107
330,21.0225561271875,21.4819833869912,3957.04489469067
335,20.7887573945115,21.3756169937267,5290.79490335886
340,20.5236219727772,21.2488746717953,7207.21861711664
345,20.2265113189599,21.0704880136643,9857.30587678376
350,19.9440496010889,20.8089705846259,13058.8390734833
355,19.8136676887959,20.4861461396751,15727.1891625262
360,19.9847194521612,20.234251224405,16156.6063912501
365,20.4020251849277,20.1833638548507,14102.4332216344
370,20.8639676415432,20.3093871313972,11108.9792953445
375,21.2576231505201,20.5183556524916,8432.40802654221
380,21.5757930858105,20.7511148585554,6410.58491676786
385,21.8441727269283,20.9871356636302,4960.79033879837
390,22.0869973344628,21.2233941185755,3926.01092419142
395,22.3208884638556,21.4623122473574,3177.22962187853
400,22.5563574943297,21.7072883151862,2624.50454303175
405,22.7999876258447,21.961391504646,2207.8415584591
410,23.0559841487462,22.2271180348169,1887.3818933734
415,23.3271294132249,22.5064501367911,1636.33779696733
420,23.6153499662934,22.8009745383845,1436.38961002067
425,23.922053106869,23.1119913764375,1274.76553716978
430,24.2483293049875,23.4405994326458,1142.38894848277
435,24.5950762982387,23.7877592588922,1032.68983446166
440,24.9630768019645,24.1543390632665,940.830222643061
445,25.3530482391645,24.5411479800126,863.19049451646
450,25.7656752590733,24.9489603278768,797.022643310667
455,26.2016314613535,25.3785334792557,740.212148141025
460,26.6615942240055,25.8306211966302,691.111727208056
465,27.1462550486658,26.3059837384406,648.423456747861
470,27.6563269454871,26.8053956472779,611.113958756783
475,28.1925498343641,27.3296518629802,578.352544667257
480,28.7556945993394,27.8795726158086,549.465524898556
485,29.3465662175449,28.4560074245157,523.902057177062
490,29.9660062450808,29.0598384328404,501.208335850001
495,30.6148948512615,29.691983253527,481.00788265765
